id,station,measured_station,forecast_station,observation_station,comments
89,punta_indio_ba,PUNTA INDIO B.A.,PUNTA_INDIO_B.A,PUNTA INDIO B.A.,
90,rafaela_aero,RAFAELA AERO,RAFAELA_AERO,RAFAELA AERO,
91,reconquista_aero,RECONQUISTA AERO,RECONQUISTA_AERO,RECONQUISTA AERO,
92,resistencia_aero,RESISTENCIA AERO,RESISTENCIA_AERO,RESISTENCIA AERO,
93,rio_colorado,RIO COLORADO,RIO_COLORADO,RIO COLORADO,
94,rio_cuarto_aero,RIO CUARTO AERO,RIO_CUARTO_AERO,RIO CUARTO AERO,
95,rio_gallegos_aero,RIO GALLEGOS AERO,RIO_GALLEGOS_AERO,RIO GALLEGOS AERO,
96,rio_grande_(ba),RIO GRANDE B.A.,RIO_GRANDE_B.A.,RIO GRANDE B.A.,
97,rivadavia,RIVADAVIA,RIVADAVIA,RIVADAVIA,
98,rosario_aero,ROSARIO AERO,ROSARIO_AERO,ROSARIO AERO,
99,salta_aero,SALTA AERO,SALTA_AERO,SALTA AERO,
100,san_antonio_oeste_aero,SAN ANTONIO OESTE AERO,SAN_ANTONIO_OESTE_AERO,SAN ANTONIO OESTE AERO,
101,san_carlos_mza,SAN CARLOS (MZA),SAN_CARLOS_(MZA),SAN CARLOS (MZA),
102,san_fernando,SAN FERNANDO,SAN_FERNANDO,SAN FERNANDO AERO,
103,san_fernando,SAN FERNANDO AERO,,,? serà el mismo?
104,san_juan_aero,SAN JUAN AERO,SAN_JUAN_AERO,SAN JUAN AERO,
105,san_julian_aero,SAN JULIAN AERO,SAN_JULIAN_AERO,SAN JULIAN AERO,
106,san_luis_aero,SAN LUIS AERO,SAN_LUIS_AERO,SAN LUIS AERO,
107,san_martin_mza,SAN MARTIN (MZA),SAN_MARTIN_(MZA),SAN MARTIN (MZA),
108,san_miguel,,SAN_MIGUEL,,
109,san_rafael_aero,SAN RAFAEL AERO,SAN_RAFAEL_AERO,SAN RAFAEL AERO,
110,santa_cruz_aero,SANTA CRUZ AERO,SANTA_CRUZ_AERO,SANTA CRUZ AERO,
111,santa_rosa_aero,SANTA ROSA AERO,SANTA_ROSA_AERO,SANTA ROSA AERO,
112,santa_rosa_de_conlara_aero,SANTA ROSA DE CONLARA AERO,SANTA_ROSA_DE_CONLARA_AERO,SANTA ROSA DE CONLARA AERO,
113,santa_teresita_aero,,SANTA_TERESITA_AERO,,
114,santiago_del_estero_aero,SANTIAGO DEL ESTERO AERO,SANTIAGO_DEL_ESTERO_AERO,SANTIAGO DEL ESTERO AERO,
115,sauce_viejo_aero,SAUCE VIEJO AERO,SAUCE_VIEJO_AERO,SAUCE VIEJO AERO,
116,sunchales_aero,SUNCHALES AERO,SUNCHALES_AERO,SUNCHALES AERO,
117,tandil_aero,TANDIL AERO,TANDIL_AERO,TANDIL AERO,
118,tartagal_aero,TARTAGAL AERO,TARTAGAL_AERO,TARTAGAL AERO,
119,termas_de_rio_hondo_aero,TERMAS DE RIO HONDO AERO,TERMAS_DE_RIO_HONDO_AERO,TERMAS DE RIO HONDO AERO,
120,tinogasta,TINOGASTA,TINOGASTA,TINOGASTA,
121,trelew_aero,TRELEW AERO,TRELEW_AERO,TRELEW AERO,
122,trenque_lauquen,TRENQUE LAUQUEN,TRENQUE_LAUQUEN,TRENQUE LAUQUEN,
123,tres_arroyos,TRES ARROYOS,TRES_ARROYOS,TRES ARROYOS,
124,tucuman_aero,TUCUMAN AERO,TUCUMAN_AERO,TUCUMAN AERO,
125,ushuaia_aero,USHUAIA AERO,USHUAIA_AERO,USHUAIA AERO,
126,uspallata_aero,USPALLATA,USPALLATA_AERO,USPALLATA,? serà el mismo?
127,venado_tuerto,VENADO TUERTO,VENADO_TUERTO,VENADO TUERTO AERO,
128,venado_tuerto,VENADO TUERTO AERO,,,? serà el mismo?
129,victorica,VICTORICA,VICTORICA,VICTORICA,
130,viedma_aero,VIEDMA AERO,VIEDMA_AERO,VIEDMA AERO,
131,villa_maria_del_rio_seco,VILLA DE MARIA DEL RIO SECO,VILLA_MARIA_DEL_RIO_SECO,VILLA DE MARIA DEL RIO SECO,
132,villa_maria_del_rio_seco,VILLA MARIA DEL RIO SECO,,,
133,villa_dolores_aero,VILLA DOLORES AERO,VILLA_DOLORES_AERO,VILLA DOLORES AERO,
134,villa_gesell_aero,VILLA GESELL AERO,VILLA_GESELL_AERO,VILLA GESELL AERO,
135,villa_reynolds_aero,VILLA REYNOLDS AERO,VILLA_REYNOLDS_AERO,VILLA REYNOLDS AERO,
